Category,Wine,Vendor,Qty,Est. €/Bottle,Est. Line Total,Awards & Ratings,Food Pairing,Notes
Sparkling,Simonsig Kaapse Vonkel Cap Classique,Vivino,2,€14.00,€28.00,Amorim Cap Classique Challenge: 3x Producer of Year; multiple Golds; Wine Enthusiast 88; Mundus Vini Silver,"aperitif, shellfish","SA's first traditional-method sparkling (1971), pioneer"
Oaked White,Kleine Zalze Vineyard Selection Chenin Blanc 2022,Vivino,3,€12.00,€36.00,Vivino 4.1 NL; Platter's 4 stars; Tim Atkin 90+; DWWA Silver,"creamy, roasted",Barrel-fermented Stellenbosch Chenin Blanc
Oaked White,White Rioja Barrel Fermented (Bodegas Shaya or similar),Grandcruwijnen,3,€11.00,€33.00,Shaya: DWWA Bronze; Mundus Vini Silver,"creamy, roasted, umami",Rich oak-aged Viura/Verdejo white
Oaked White,Fumé Blanc / Oaked Sauvignon (Loire or SA),Vivino,2,€13.00,€26.00,Varies by producer; Loire Fumé: DWWA Gold tier regularly,roasted vegetables,Oak-kissed Sauvignon Blanc style
Oaked White,White Burgundy Mâcon-Villages (Jadot or similar),UpperWine,2,€14.00,€28.00,Louis Jadot: DWWA Gold/Platinum across Burgundy range; IWC Trophy winner (other cuvées),"creamy sauces, chicken",Unoaked-to-lightly-oaked Chardonnay
Oaked White,Penfolds Koonunga Hill Chardonnay or similar,Vivino,2,€12.00,€24.00,Penfolds: James Halliday 5 stars; Wine Spectator recommended; IWC Silver,"roasted, umami",Reliable Aussie oaked Chardonnay
Aromatic White,"Hugel Gewürztraminer Classic, Alsace",Vivino,2,€14.00,€28.00,Hugel: DWWA Gold (across range); IWC Trophy (Alsace); benchmark since 1639,"spicy, Asian cuisine",Benchmark Alsace Gewürztraminer producer
Aromatic White,Nik Weis St. Urbans-Hof Estate Riesling,Grandcruwijnen,3,€11.00,€33.00,DWWA Silver/Gold (various); Wine Enthusiast 90 pts; Vivino 4.0+,"pork, chicken, spicy","Mosel Riesling, green apple and pear, refreshing"
Aromatic White,Torrontés (Colomé or Susana Balbo),Vivino,3,€11.00,€33.00,"Colomé: DWWA Silver; Decanter recommended; Susana Balbo: IWC medals, James Suckling 90+","spicy, chicken","Argentine aromatic, floral and citrus"
Sparkling Rosé,Allimant-Laugner Crémant d'Alsace Rosé,Grandcruwijnen,2,€12.00,€24.00,Decanter Silver; part of Allimant-Laugner's consistently awarded crémant range,"shellfish, sweet",Traditional method Pinot Noir rosé fizz
,,TOTALS,82,,€987.00,,,
,,AVG €/BOTTLE,,,€12.04,,,
,,,,,,,,
Category,,,Bottles,Target,Est. Cost,Check,,
Dry Rosé,,,23,23,€270.00,?,,
Medium Red,,,13,13,€151.00,?,,
Light Red,,,9,9,€118.00,?,,
Sparkling,,,15,15,€183.00,?,,
Oaked White,,,12,12,€147.00,?,,
Aromatic White,,,8,8,€94.00,?,,
Sparkling Rosé,,,2,2,€24.00,?,,
